zip,cbsa,geo_name,rpp
60936,14010,"Bloomington, IL ",91.6
60936,99999,NA,NA
60936,16580,"Champaign-Urbana, IL ",91
60938,99999,NA,NA
60939,99999,NA,NA
60940,28100,"Kankakee, IL ",92.9
60940,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60941,28100,"Kankakee, IL ",92.9
60941,99999,NA,NA
60942,19180,"Danville, IL ",79.1
60942,99999,NA,NA
60944,28100,"Kankakee, IL ",92.9
60945,99999,NA,NA
60946,38700,NA,NA
60946,99999,NA,NA
60948,99999,NA,NA
60949,99999,NA,NA
60949,16580,"Champaign-Urbana, IL ",91
60950,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60950,28100,"Kankakee, IL ",92.9
60951,99999,NA,NA
60952,38700,NA,NA
60952,99999,NA,NA
60953,99999,NA,NA
60954,28100,"Kankakee, IL ",92.9
60955,99999,NA,NA
60956,99999,NA,NA
60957,99999,NA,NA
60957,16580,"Champaign-Urbana, IL ",91
60958,28100,"Kankakee, IL ",92.9
60959,99999,NA,NA
60959,38700,NA,NA
60960,99999,NA,NA
60960,19180,"Danville, IL ",79.1
60960,16580,"Champaign-Urbana, IL ",91
60961,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60961,28100,"Kankakee, IL ",92.9
60961,38700,NA,NA
60962,99999,NA,NA
60962,38700,NA,NA
60963,19180,"Danville, IL ",79.1
60964,28100,"Kankakee, IL ",92.9
60964,99999,NA,NA
60966,99999,NA,NA
60967,99999,NA,NA
60968,99999,NA,NA
60969,28100,"Kankakee, IL ",92.9
60970,99999,NA,NA
60973,99999,NA,NA
60974,99999,NA,NA
61001,99999,NA,NA
61006,19940,NA,NA
61006,40300,NA,NA
61007,40300,NA,NA
61007,23300,NA,NA
61008,40420,"Rockford, IL ",86.9
61010,40300,NA,NA
61011,40420,"Rockford, IL ",86.9
61012,40420,"Rockford, IL ",86.9
61012,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
61013,23300,NA,NA
61014,99999,NA,NA
61014,44580,NA,NA
61015,40300,NA,NA
61016,40420,"Rockford, IL ",86.9
61018,23300,NA,NA
61019,23300,NA,NA
61019,40420,"Rockford, IL ",86.9
61020,40420,"Rockford, IL ",86.9
61020,40300,NA,NA
61021,19940,NA,NA
61021,40300,NA,NA
61024,40420,"Rockford, IL ",86.9
61025,99999,NA,NA
61027,23300,NA,NA
61028,99999,NA,NA
61030,40300,NA,NA
61031,40300,NA,NA
61031,19940,NA,NA
61032,23300,NA,NA
61036,99999,NA,NA
61037,44580,NA,NA
61038,40420,"Rockford, IL ",86.9
61038,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
61039,40420,"Rockford, IL ",86.9
61039,23300,NA,NA
61039,40300,NA,NA
61041,99999,NA,NA
61042,19940,NA,NA
61042,44580,NA,NA
61043,40300,NA,NA
61044,99999,NA,NA
61044,23300,NA,NA
61046,99999,NA,NA
61047,40420,"Rockford, IL ",86.9
61047,40300,NA,NA
61047,23300,NA,NA
61048,23300,NA,NA
61048,99999,NA,NA
61049,40300,NA,NA
61050,23300,NA,NA
61051,44580,NA,NA
61051,99999,NA,NA
61051,40300,NA,NA
61052,40420,"Rockford, IL ",86.9
61052,40300,NA,NA
61052,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
61053,99999,NA,NA
61054,40300,NA,NA
61057,19940,NA,NA
61059,99999,NA,NA
61060,23300,NA,NA
61061,40300,NA,NA
61062,99999,NA,NA
61062,23300,NA,NA
61063,23300,NA,NA
61063,40420,"Rockford, IL ",86.9
61064,40300,NA,NA
61064,19940,NA,NA
61064,99999,NA,NA
61064,44580,NA,NA
61065,40420,"Rockford, IL ",86.9
61067,23300,NA,NA
61068,40300,NA,NA
61068,19940,NA,NA
61068,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
61070,23300,NA,NA
61071,44580,NA,NA
61071,19940,NA,NA
61072,40420,"Rockford, IL ",86.9
61073,40420,"Rockford, IL ",86.9
61074,99999,NA,NA
61075,99999,NA,NA
61077,40420,"Rockford, IL ",86.9
61078,99999,NA,NA
61078,40300,NA,NA
61078,23300,NA,NA
